source_id,source_name,abbreviation,tier,category,owner,jurisdiction,publisher_type,reliability_score,authority_score,accuracy_score,recency_score,completeness_score,transparency_score,accessibility_score,geographic_relevance_score,methodology_score,update_frequency,preferred_for,license,citation_required,validation_method,evidence_required,archive_required,versioning_required,reliability_level,official_website,download_url,api_available,api_endpoint,dataset_type,data_format,authentication_required,scraping_allowed,license_url,source_status,last_verified,next_review,citation_template,contact_email,documentation_url,version,created_date,modified_date,remarks,notes
SRC-0001,Nagpur Metropolitan Region Development Authority,NMRDA,Tier A,Infrastructure|UrbanPlanning|LandUseLandRecords|Zoning|FloodRisk|FutureInfrastructureMasterPlansSmartCityProjects|GreenSpacesLakesRivers,Government,Regional,Planning Authority,7.6,8,8,5,10,8,6,9,7,Irregular,"Development Plan, zoning, land use, metropolitan region boundaries, flood-prone zone maps",Government Copyright (Unspecified),Yes,Manual review against published DP documents; boundary polygon cross-checks; topology checks,Yes,Yes,Yes,Preferred,https://nmrda.org,,Unknown,,Geospatial/Administrative,,Unknown,Unknown,,Active,2026-07-15,2027-01-15,NMRDA. ({year}). {dataset title}. Nagpur Metropolitan Region Development Authority. https://nmrda.org.,,,,,,Verification tier: web-verified 2026-07-15.,"Named as a Tier A example in Sec.3; listed as preferred source across Urban Planning, Land Use, Zoning, Flood Risk, Future Infrastructure categories (Sec.4)."
SRC-0002,Maharashtra Industrial Development Corporation,MIDC,Tier A,IndustrialDevelopment|EconomicZonesIndustrialEstates,Government,State,Public Corporation,7.2,8,8,6,9.2,6,6,7,7,Annual,"Industrial estate boundaries, plot allotments, occupancy, SEZ boundaries",,Yes,Boundary polygon cross-check against NMRDA land use maps,Yes,Yes,Yes,Preferred,https://www.midcindia.org,,Unknown,,Administrative/Operational,,Unknown,Unknown,,Active,,,MIDC. ({year}). {dataset title}. Maharashtra Industrial Development Corporation. https://www.midcindia.org.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Tier A example in Sec.3.
SRC-0003,Maharashtra Airport Development Company,MADC,Tier A,IndustrialDevelopment|PublicTransport|EconomicZonesIndustrialEstates|FutureInfrastructureMasterPlansSmartCityProjects,Government,Regional,Infrastructure SPV,7.4,8,8,6,9.2,6,6,9,7,Annual,"MIHAN project data, cargo hub status, SEZ allotments, airport route data",,Yes,Boundary polygon cross-check against NMRDA land use maps,Yes,Yes,Yes,Preferred,https://www.madcindia.org,,Unknown,,Administrative/Land,,Unknown,Unknown,,Active,,,MADC. ({year}). {dataset title}. Maharashtra Airport Development Company. https://www.madcindia.org.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Referred to in Sec.3 as MIHAN/MADC.
SRC-0004,Nagpur Municipal Corporation,NMC,Tier A,Infrastructure|Transportation|UrbanPlanning|Healthcare|WaterSupply|DrainageStormwater|PublicSafetyEmergencyServices|MobilityTraffic|AdministrativePoliticalWardBoundaries|WalkabilityCyclingParking|UtilitiesSolidWasteSewageStormwater|GreenSpacesLakesRivers|Culture|PublicTransportBusNetwork,Municipal,Nagpur,Municipal Authority,7.2,8,8,6,10,3,6,10,7,Annual,"Ward boundaries, civic infrastructure, water supply, solid waste, health, property tax, local budgets, traffic, drainage, parks",Government Copyright (Unspecified),Yes,"Haversine-based coordinate proximity checks; topology checks; coverage polygon overlays (varies by dataset, Sec.4)",Yes,Yes,Yes,Preferred,https://www.nmcnagpur.gov.in,,Unknown,,Administrative/Civic,,Unknown,Unknown,,Active,2026-07-15,2027-01-15,NMC. ({year}). {dataset title}. Nagpur Municipal Corporation. https://www.nmcnagpur.gov.in.,mconagpur@gov.in,,,,,Verification tier: web-verified 2026-07-15.,"Explicitly assigned SRC-0004 in Sec.8.2/8.3 examples (NMC infrastructure registry). Encompasses multiple internal departments (Traffic, Town Planning, Health, Water Works, Engineering, Solid Waste Management, Garden Department) treated as one publisher per deduplication rule."
SRC-0005,"Inspector General of Registration & Stamps, Maharashtra",IGR Maharashtra,Tier A,RealEstate|PropertyRegistration,Government,State,Registration Authority,8.1,9,9,9,10,8,6,7,7,Real-time,"Registered sale deeds, ready reckoner rates, stamp duty data",Restricted,Yes,Temporal consistency check; duplicate/void-transaction filtering,Yes,Yes,Yes,Preferred,https://igrmaharashtra.gov.in,,Unknown,,Transactional/Administrative,,Yes,Unknown,,Active,2026-07-15,2027-01-15,"IGR Maharashtra. ({year}). {dataset title}. Inspector General of Registration & Stamps, Maharashtra. https://igrmaharashtra.gov.in.",,,,,,Verification tier: web-verified 2026-07-15.,
SRC-0006,Maharashtra Pollution Control Board,MPCB,Tier A,Environment|AirQualityNoisePollution|GreenSpacesLakesRivers,Government,State,Environmental Regulator,7.5,8,8,9,9.2,6,6,7,7,Real-time,"Air/water quality, pollution monitoring, water body health",,Yes,Station-level metadata check; temporal continuity check,Yes,Yes,Yes,Preferred,https://mpcb.gov.in,,Unknown,,Environmental/Regulatory,,Unknown,Unknown,,Active,,,MPCB. ({year}). {dataset title}. Maharashtra Pollution Control Board. https://mpcb.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0007,Maharashtra Metro Rail Corporation - Nagpur Metro,Maha Metro,Tier A,Transportation|PublicTransportMetroAirportRailwaysHighwaysBusNetwork,Government,State,Transport Agency,7.2,8,8,6,9.2,6,6,7,7,Annual,"Metro station locations, ridership, route alignment, phase status",,Yes,Spatial validation against OSM road network; route-endpoint cross-check; coordinate validation against official route maps,Yes,Yes,Yes,Preferred,https://www.metrorailnagpur.com,,Unknown,,Infrastructure/Operational,,Unknown,Unknown,,Active,,,Maha Metro. ({year}). {dataset title}. Maharashtra Metro Rail Corporation - Nagpur Metro. https://www.metrorailnagpur.com.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",Explicitly assigned SRC-0007 in the Sec.8.1 citation example (Nagpur Metro Phase I alignment).
SRC-0008,Central Pollution Control Board,CPCB,Tier A,Environment|AirQualityNoisePollution,Government,National,Environmental Regulator,7.5,8,8,9,10,6,6,6,7,Real-time,"Air quality index, pollution monitoring",GODL-India,Yes,Station-level metadata check; temporal continuity check,Yes,Yes,Yes,Preferred,https://cpcb.nic.in,,Yes,,Environmental/Regulatory,,Unknown,Unknown,https://www.data.gov.in/Godl,Active,,,CPCB. ({year}). {dataset title}. Central Pollution Control Board. https://cpcb.nic.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0009,Maharashtra State Electricity Distribution Co. Ltd.,MSEDCL,Tier A,Electricity,Government,State,Public Corporation,7.2,8,8,6,9.2,6,6,7,7,Annual,"Substation locations, transformer density, outage frequency",,Yes,Coordinate validation; capacity cross-check,Yes,Yes,Yes,Preferred,https://www.mahadiscom.in,,Unknown,,Administrative/Operational,,Unknown,Unknown,,Active,,,MSEDCL. ({year}). {dataset title}. Maharashtra State Electricity Distribution Co. Ltd.. https://www.mahadiscom.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
SRC-0010,Nagpur City Police,,Tier A,PublicSafetyEmergencyServices|Crime,Government,Nagpur,Law Enforcement Agency,7.9,8,8,9,9.2,6,6,10,7,Real-time,"Police station locations, crime statistics",,Yes,Coordinate validation; jurisdiction boundary cross-check; jurisdiction-to-locality mapping validation,Yes,Yes,Yes,Preferred,https://nagpurpolice.gov.in,,Unknown,,Administrative/Safety,,Unknown,Unknown,,Active,,,Nagpur City Police. ({year}). {dataset title}. Nagpur City Police. https://nagpurpolice.gov.in.,,,,,,"Verification tier: high-confidence, not independently re-verified this session.",
